Year,Area Name,Carcass Size,Harvest Date,Location
2020,PUTNAM COUNTY,9 ft. 8 in.,10/25/2020,OCKLAWAHA RIVER
2020,PUTNAM COUNTY,9 ft. 8 in.,08/23/2020,DUNNS CREEK
2020,PINELLAS COUNTY,9 ft. 8 in.,10/24/2020,TARPON LAKE
2020,LAKE GEORGE,9 ft. 8 in.,09/12/2020,
2020,LAKE HANCOCK,9 ft. 8 in.,10/28/2020,
2020,LAKE JESUP,9 ft. 8 in.,10/25/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 8 in.,10/22/2020,
2020,FRANKLIN COUNTY,9 ft. 8 in.,09/19/2020,BLOUNTS BAY
2020,STA - 1W SOUTH,9 ft. 8 in.,11/01/2020,
2020,ORANGE COUNTY,9 ft. 8 in.,08/15/2020,
2020,MARION COUNTY,9 ft. 8 in.,08/17/2020,MOSS BLUFF POND
2020,NEWNANS LAKE,9 ft. 8 in.,10/24/2020,
2020,STA - 1W NORTH,9 ft. 8 in.,08/22/2020,
2020,LAKE OKEECHOBEE SOUTH,9 ft. 8 in.,09/26/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 8 in.,08/29/2020,
2020,CITRUS COUNTY,9 ft. 8 in.,10/31/2020,WITHLACOOCHEE RIVER
2020,LAKE MICCOSUKEE,9 ft. 8 in.,08/28/2020,
2020,MARTIN COUNTY,9 ft. 8 in.,08/24/2020,
2020,BLUE CYPRESS WATER MANAGEMENT AREA,9 ft. 8 in.,10/12/2020,
2020,BLUE CYPRESS WATER MANAGEMENT AREA,9 ft. 8 in.,10/12/2020,
2020,NEWNANS LAKE,9 ft. 8 in.,08/15/2020,
2020,ST. JOHNS RIVER (LAKE HELL N' BLAZES),9 ft. 8 in.,10/26/2020,
2020,STA - 2,9 ft. 8 in.,09/04/2020,
2020,LAKE OKEECHOBEE NORTH,9 ft. 8 in.,10/30/2020,
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 8 in.,10/13/2020,
2020,CRESCENT LAKE,9 ft. 8 in.,10/20/2020,
2020,LAKE OKEECHOBEE SOUTH,9 ft. 8 in.,10/23/2020,
2020,LAKE COUNTY,9 ft. 8 in.,10/05/2020,SUSAN LAKE
2020,CHARLOTTE COUNTY,9 ft. 8 in.,10/07/2020,FORTY ACRE POND
2020,LAKE HANCOCK,9 ft. 8 in.,09/05/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 8 in.,08/22/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 8 in.,09/06/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 8 in.,08/22/2020,
2020,LAKE JESUP,9 ft. 8 in.,10/11/2020,
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 8 in.,10/29/2020,
2020,STA - 2,9 ft. 8 in.,08/23/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 8 in.,08/16/2020,
2020,SUMTER COUNTY,9 ft. 8 in.,09/03/2020,WITHLACOOCHEE RIVER
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 8 in.,08/25/2020,
2020,LAKE ISTOKPOGA,9 ft. 8 in.,09/07/2020,
2020,EVERGLADES &amp; FRANCIS S. TAYLOR WMA (WCA 2),9 ft. 8 in.,08/26/2020,
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 8 in.,09/15/2020,
2020,KISSIMMEE RIVER,9 ft. 8 in.,10/28/2020,
2020,BLUE CYPRESS LAKE,9 ft. 8 in.,08/28/2020,
2020,LAKE MICCOSUKEE,9 ft. 8 in.,10/27/2020,
2020,LAKE SEMINOLE,9 ft. 8 in.,08/17/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 8 in.,08/24/2020,
2020,STA - 1W NORTH,9 ft. 8 in.,08/30/2020,
2020,DIXIE COUNTY,9 ft. 8 in.,09/11/2020,FISHBONE CREEK
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 8 in.,08/16/2020,
2020,ORANGE LAKE,9 ft. 8 in.,09/01/2020,
2020,LAKE TRAFFORD,9 ft. 8 in.,10/01/2020,
2020,NEWNANS LAKE,9 ft. 8 in.,08/27/2020,
2020,STA - 1W NORTH,9 ft. 8 in.,08/21/2020,
2020,ORANGE LAKE,9 ft. 8 in.,09/11/2020,
2020,NASSAU COUNTY,9 ft. 8 in.,10/21/2020,NASSAU RIVER
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 8 in.,08/25/2020,
2020,CHARLOTTE COUNTY,9 ft. 8 in.,10/31/2020,
2020,LAKE TRAFFORD,9 ft. 8 in.,10/23/2020,
2020,A.R.M. LOXAHATCHEE NWR,9 ft. 8 in.,08/16/2020,
2020,LEVY COUNTY,9 ft. 8 in.,08/19/2020,GULF HAMMOCK
2020,STA - 3/4 EAST,9 ft. 8 in.,08/29/2020,
2020,KISSIMMEE RIVER,9 ft. 8 in.,10/06/2020,
2020,NEWNANS LAKE,9 ft. 8 in.,10/14/2020,
2020,NEWNANS LAKE,9 ft. 8 in.,09/26/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 8 in.,10/31/2020,
2020,POLK COUNTY,9 ft. 8 in.,09/27/2020,
2020,ST. JOHNS COUNTY,9 ft. 8 in.,10/12/2020,
2020,SARASOTA COUNTY,9 ft. 8 in.,10/17/2020,VENICE INLET
2020,ST. JOHNS RIVER (LAKE POINSETT),9 ft. 8 in.,10/10/2020,
2020,LAKE COUNTY,9 ft. 8 in.,09/03/2020,SAINT FRANCIS DEAD RIVER
2020,KISSIMMEE RIVER,9 ft. 8 in.,10/23/2020,
2020,LAKE ARBUCKLE,9 ft. 8 in.,10/24/2020,
2020,ST. JOHNS COUNTY,9 ft. 8 in.,09/20/2020,GUANO LAKE
2020,JEFFERSON COUNTY,9 ft. 8 in.,09/04/2020,PINHOOK RIVER
2020,KISSIMMEE RIVER,9 ft. 8 in.,10/08/2020,
2020,ST. JOHNS COUNTY,9 ft. 8 in.,10/11/2020,CRACKER BRANCH
2020,ST. JOHNS RIVER (LAKE HELL N' BLAZES),9 ft. 8 in.,10/31/2020,
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 8 in.,08/29/2020,
2020,STA - 3/4 EAST,9 ft. 8 in.,08/15/2020,
2020,POLK COUNTY,9 ft. 8 in.,10/22/2020,ALFRED LAKE
